npm warn config ignoring workspace config at /app/apps/next-web/.npmrc
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:190:81: Strings not allowed in JSX files: "AI Strategy for your Brand DNA" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:205:14: Strings not allowed in JSX files: "View Scheduler" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:255:16: Strings not allowed in JSX files: "GO TO SCHEDULER" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:277:103: Strings not allowed in JSX files: "Timeline" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:284:56: Strings not allowed in JSX files: "Month" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:301:56: Strings not allowed in JSX files: "Year" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:327:88: Strings not allowed in JSX files: "Brand Strategy" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:334:56: Strings not allowed in JSX files: "Industry" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:351:56: Strings not allowed in JSX files: "Frequency" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:373:56: Strings not allowed in JSX files: "Platforms" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:437:54: Strings not allowed in JSX files: "AI ADAPTATION ACTIVE" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:440:111: Strings not allowed in JSX files: "Strategy is automatically synced with your Brand DNA mission and voice." [Error/react/jsx-no-literals]
